741.98,2027.5,115,190.02
781.88,2343.1,115,200.27
533.19,991.28,150.57,118.41
382.73,2036.5,122.98,115
610.88,639.62,201.34,94.951
663.61,1301.1,115,169.89
766.78,1061.8,125.37,180.1
354.9,1955.2,135.86,115
505.37,3005.7,115,129.23
501.41,3214.5,115,128.21
869.5,1500.1,115,222.79
619.15,1764.9,115,158.46
517.05,2833.2,115,132.23
725.32,3869.8,115,185.74
690.18,1423.5,115,176.71
735.3,1532.1,115,188.31
664.8,1252.5,115,170.19
743.34,1946.9,115,190.37
742.61,1872.5,115,190.19
619.17,2695.9,115,158.47
501.4,788.59,195.75,92.668
742.68,2048.9,115,190.2
795.23,1294.6,115,203.71
752.96,1901.1,115,192.84
744.23,2021,115,190.6
651.45,758.54,174.9,115.44
736.35,1605.2,115,188.58
496.79,2881.7,115,127.02
297.89,1183.3,162.23,115
748.98,1691.3,115,191.82
738.47,2484.6,115,189.12
616.3,995.2,143.36,137.07
541.81,869.9,173.35,107.99
694.86,1554.7,115,177.92
685.95,1782.2,115,175.63
713.88,1452.8,115,182.8
997.12,712.07,112.12,165.21
354.03,1424.8,136.26,115
900.38,2016,115,230.72
891.73,799.38,129.85,163.41
502.81,2999.2,115,128.57
782.02,930.48,136.25,163.64
690.87,2046,115,176.89
743.64,1305.5,115,190.45
768.75,1508.8,115,196.9
744.8,1891.3,115,190.75
432.44,2414.9,115,115
738.52,1484.6,115,189.13
517.21,1905.6,115,132.27
1015.1,741.33,108.92,173.9
625.03,1460.7,115,159.97
760.75,1213.9,115,194.84
516.88,2517.4,115,132.18
505.96,793.69,193.93,93.948
460.76,814.48,196.69,87.663
722.71,1881.9,115,185.07
741.65,2060.2,115,189.94
623.68,1269.8,115,159.63
413.06,2459.3,115,115
507.39,1755.1,115,129.75
751.49,1600.4,115,192.47
744.7,2019.3,115,190.72
486.27,2301.3,115,124.32
290.94,1093.5,178.6,108.64
744.69,1768.5,115,190.72
738.03,1803.8,115,189.01
747.24,3229.3,115,191.37
738.95,1831.2,115,189.25
746.81,1735.5,115,191.26
407.82,2313.7,115,115
659.99,1936,115,168.96
696.27,1541.3,115,178.28
622.77,1495.7,115,159.39
757.52,1612.4,115,194.02
579.65,864.16,169.35,114.68
755.63,1582.5,115,193.53
701.05,2798.7,115,179.51
641.46,1564.7,115,164.19
310.61,1221.5,156.34,115
336.47,1785.8,144.38,115
494.05,2355.3,115,126.32
735.93,2240.9,115,188.47
612.77,1224.3,115,156.82
744.69,1041.9,128.52,172.06
513.98,2598.6,115,131.44
387.32,1476,120.86,115
577.02,944.02,155.53,122.85
664.04,1866.5,115,170
454.38,1686.5,115,116.13
484.36,2301.3,115,123.83
472.56,3006.3,115,120.8
1027.7,573.08,103.29,142.33
371.88,2122.7,128,115
495.6,1828.9,115,126.72
602.14,2205.5,115,154.09
741.52,1993.2,115,189.91
447.16,2475.8,115,115
598.32,873.15,165.33,119.29
688.89,1585.7,115,176.38
790.99,994.74,129.88,175.39
477.5,2635.3,115,122.07
452.5,1912.3,115,115.64
894.52,974.36,122.64,194.55
1265.2,898.5,92.57,236.16
734.7,1894.5,115,188.15
679.34,1325.5,115,173.93
346,1992.2,139.97,115
742.2,1657,115,190.08
619.47,1225.3,115,158.54
732.33,4177.8,115,187.54
523.2,2953.5,115,133.81
742.17,1936.2,115,190.07
634.81,861.19,162.37,124.93
442.25,1680.5,115,115
747.59,1244.6,115,191.47
506.07,2230.7,115,129.41
450.18,2055.5,115,115.05
536.6,919.45,164.37,111.94
400.73,2101.2,115,115
4130.2,982.66,99.481,255.83
735.97,1576.7,115,188.48
478.29,1984.1,115,122.27
502.47,2352.6,115,128.48
737.15,1524,115,188.78
749.5,1874.8,115,191.95
731.21,1754.7,115,187.26
746.74,1782.2,115,191.25
749.12,1613.5,115,191.86
681.61,1932.5,115,174.51
629.79,999.48,141.65,140.55
693.7,2747.2,115,177.62
1134.2,908.19,97.504,231.2
756.39,1818.5,115,193.72
740.87,2531.8,115,189.74
331.38,2142.9,146.74,115
760.72,1512,115,194.84
825.32,1981,115,211.44
324.68,1894,149.83,115
743.59,3270.2,115,190.44
597.01,2136.8,115,152.77
4620.8,1730.2,115,300
638.98,1017.6,138.21,144.8
453.42,2245.8,115,115.88
564.49,975.41,151.01,123.57
517.07,2814.4,115,132.23
614.35,1217.3,115,157.23
329.83,2129.6,147.45,115
399.08,2620.4,115.42,115
664.13,1678.5,115,170.02
2167.1,1662.6,115,300
626.3,863.56,163.16,123.58
843.37,771.92,139.4,150.28
738.86,1576.2,115,189.22
266.39,2565.8,176.8,115
467.89,2797.9,115,119.6
388.02,2071.6,120.54,115
597.39,2124.1,115,152.87
737.86,1904.3,115,188.96
340.55,1791.3,142.5,115
752.37,1963.2,115,192.69
686.9,3010.8,115,175.87
510.77,2080.9,115,130.62
750.87,2380,115,192.31
503.85,1779.5,115,128.84
746.92,2527.4,115,191.29
